id,"last, first",inc,pcode,party,totrec,totdis,candcont,indcont,abbr,dist,spec,runoff,gewin,geper,otherpolcom,partycont
H2AK00101,"MOORE, MATTHEW EDWARD",C,1,DEM,60679.5,60679.5,0,19521.5,AK,0,,,,,0,0
H4AK00057,"VONDERSAAR, FRANK J",C,1,DEM,500,400,0,0,AK,0,,,,,0,0
H4AK00123,"DUNBAR, FORREST",C,1,DEM,237456.58,230088.83,0,233131.98,AK,0,,,,,1000,3324.6
H0AK00097,"COX, JOHN R.",C,2,REP,0,2391,0,0,AK,0,,,,,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,788960.16,809039.2,0,461857.82,AK,0,,,,,289540.14,0
H2AK00143,"MCDERMOTT, JIM C",C,3,LIB,7877,7877,7437,140,AK,0,,,,,0,300
H4AL01156,"LEFLORE, BURTON R",C,1,DEM,36974.05,35603,4932,33474,AL,1,,,,,0,0
H2AL01077,"BONNER, JOSIAH ROBINS JR.",I,2,REP,87681.86,244891.08,0,37650,AL,1,,,,,48000,0
H2AL01176,"YOUNG, LARRY DEAN JR",O,2,REP,284899.73,287647.43,0,109700.54,AL,1,,,,,0,0
H4AL01115,"HILLYER, RICHARD QUIN EDMONSON",C,2,REP,295006.95,295006.95,7866.48,227536.97,AL,1,,,,,34237.86,0
H4AL01123,"BYRNE, BRADLEY ROBERTS",I,2,REP,1907597.44,1655998.6,0,914507.3,AL,1,W,,,,986350.99,0
H4AL01131,"JAMES, JESSICA",C,2,REP,10113,10113,0,10113,AL,1,,,,,0,0
H4AL01149,"FINCHER, CHAD",C,2,REP,214519.18,212615.04,0,145370.62,AL,1,,,,,14500,3500
H4AL01172,"GRIFFITH, PRESTON WELLS III",C,2,REP,209780.99,210380.99,0,196780.99,AL,1,,,,,13000,0
H4AL01180,"POWE, SHARON L",O,2,REP,5450,4931,0,5450,AL,1,,,,,0,0
H2AL01192,"RAILEY, CURTIS MONROE",C,3,IND,0,1150.74,0,0,AL,1,,,,,0,0
H0AL02087,"ROBY, MARTHA",I,2,REP,1098795.1,793565.21,0,454019.64,AL,2,,,,,640303.67,0
H4AL02071,"WRIGHT, ERICK",C,3,IND,6674,10473,0,6674,AL,2,,,,,0,0
H4AL03061,"SMITH, JESSE TREMAIN",C,1,DEM,9000,9000,3200,2100,AL,3,,,,,0,0
H2AL03032,"ROGERS, MICHAEL",I,2,REP,1107197.22,941431.5,0,504511.67,AL,3,,,,,585340,7600
H4AL03053,"CASSON, THOMAS",C,2,REP,16355,16355,0,15355,AL,3,,,,,0,0
H2AL07165,"NORRIS, PHILLIP DWIGHT",C,2,REP,255,255,0,225,AL,4,,,,,0,0
H6AL04098,"ADERHOLT, ROBERT B. REP.",I,2,REP,1175936.95,909880.91,0,419784.54,AL,4,,,,,754328.84,0
H0AL05163,"BROOKS, MO",I,2,REP,614615.19,299837.5,0,321615.19,AL,5,,,,,290300,0
H4AL05074,"HILL, JERRY WAYNE",C,2,REP,25000,23900,0,100,AL,5,,,,,0,0
H4AL05082,"BRAY, MARK",C,3,IND,28844.2,26437.62,209.55,22230.62,AL,5,,,,,2500,0
H4AL06148,"LESTER, MARK",O,1,DEM,153501.09,165464.66,0,143501.09,AL,6,,,,,0,0
H2AL06035,"BACHUS, SPENCER REP.",I,2,REP,301789.13,555972.66,0,27350,AL,6,,,,,263555.83,0
H2AL06126,"BEASON, JASON SCOTT",O,2,REP,48130,49086.06,0,39650,AL,6,,,,,5000,0
H4AL06072,"MATHIS, CHAD DR",O,2,REP,747227.78,747227.78,28695.12,508906.19,AL,6,,,,,90700,0
H4AL06080,"DEMARCO, PAUL",O,2,REP,1991338.25,1991338.25,19220.46,1697238.04,AL,6,,,,,250750,0
H4AL06098,"PALMER, GARY",O,2,REP,1880021.71,1690309.21,0,1618984.26,AL,6,,,,,260300,0
