fips,ideol,sd_ideol,abbr,pres_2004,pres_2008,pres_2012
101,0.36727638,0.052125299,AL,,,0.384
102,0.501781372,0.055591691,AL,,,0.354
103,0.446597882,0.0665102,AL,,,0.37
104,0.629246213,0.057637893,AL,,,0.263
105,0.515002014,0.049381673,AL,,,0.364
106,0.410811211,0.050118993,AL,,,0.253
107,-0.07715376,0.050638934,AL,,,0.717
200,0.249844942,0.049288086,AK,,,0.392
401,0.336914313,0.052300584,AZ,,,0.485
402,0.065789998,0.041792803,AZ,,,0.495
403,-0.13720725,0.056122967,AZ,,,0.586
404,0.405028599,0.064582029,AZ,,,0.347
405,0.38424259,0.046944455,AZ,,,0.364
406,0.329448383,0.035984886,AZ,,,0.414
407,-0.196398526,0.065291508,AZ,,,0.657
408,0.308793967,0.049485316,AZ,,,0.384
409,-0.152979186,0.038076943,AZ,,,0.52
501,0.373706207,0.049850508,AR,,,0.402
502,0.093050773,0.046295843,AR,,,0.449
503,0.431657087,0.065159308,AR,,,0.347
504,0.312323754,0.051301517,AR,,,0.381
601,0.273693336,0.057173539,CA,,,0.442
602,-0.61850393,0.047291445,CA,,,0.74
603,-0.051094802,0.05265674,CA,,,0.567
604,0.166137344,0.070810569,CA,,,0.443
605,-0.47255592,0.047521143,CA,,,0.729
606,-0.316664588,0.048261418,CA,,,0.701
607,0.016767068,0.061143234,CA,,,0.526
608,0.205471091,0.049899767,CA,,,0.433
609,0.005480286,0.053480202,CA,,,0.577
610,0.115635912,0.056379859,CA,,,0.515
611,-0.38052175,0.050702412,CA,,,0.711
612,-1.062999263,0.069926342,CA,,,0.866
613,-1.08630062,0.04984872,CA,,,0.897
614,-0.640857853,0.058318479,CA,,,0.753
615,-0.146994829,0.047287246,CA,,,0.691
616,-0.067079659,0.058991493,CA,,,0.588
617,-0.410254719,0.056748298,CA,,,0.711
618,-0.569451941,0.049321105,CA,,,0.722
619,-0.339233413,0.059207381,CA,,,0.701
620,-0.40845865,0.0644794,CA,,,0.732
621,0.011919198,0.073259258,CA,,,0.531
622,0.088430299,0.08089548,CA,,,0.433
623,0.25915514,0.04636968,CA,,,0.371
624,-0.11901421,0.056363852,CA,,,0.577
625,0.053781602,0.052326881,CA,,,0.505
626,-0.051182331,0.057808944,CA,,,0.577
627,-0.243874184,0.060089952,CA,,,0.635
628,-0.61878094,0.05461066,CA,,,0.729
629,-0.625601251,0.060347842,CA,,,0.763
630,-0.421235015,0.065776218,CA,,,0.68
631,-0.073732262,0.04869743,CA,,,0.577
632,-0.090071827,0.056760921,CA,,,0.639
633,-0.473870814,0.047885804,CA,,,0.66
634,-0.610829635,0.065262823,CA,,,0.802
635,-0.22683659,0.058601076,CA,,,0.667
636,-0.213741124,0.055750513,CA,,,0.515
637,-0.778311076,0.060919271,CA,,,0.866
638,-0.123375995,0.053952958,CA,,,0.635
639,-0.064845744,0.056351544,CA,,,0.49
640,-0.456544327,0.07514247,CA,,,0.802
641,-0.108150648,0.052912184,CA,,,0.608
642,0.237881073,0.054303546,CA,,,0.443
643,-0.194450914,0.089485968,CA,,,0.773
644,-0.418699813,0.065816741,CA,,,0.835
645,0.140914953,0.062071472,CA,,,0.474
646,-0.135760538,0.064016298,CA,,,0.598
647,-0.317774271,0.059180712,CA,,,0.598
648,0.076970239,0.056820545,CA,,,0.474
649,-0.069290279,0.064503022,CA,,,0.505
650,0.285119348,0.078399906,CA,,,0.402
651,-0.270241853,0.056175574,CA,,,0.67
652,-0.177789977,0.046667855,CA,,,0.561
653,-0.423143572,0.047485417,CA,,,0.629
801,-0.412301102,0.042424662,CO,,,0.724
802,-0.24394405,0.045128374,CO,,,0.622
803,0.379548342,0.054038645,CO,,,0.49
804,0.421166201,0.049406901,CO,,,0.424
805,0.504522236,0.054388293,CO,,,0.404
806,0.00857189,0.049246855,CO,,,0.545
807,-0.092944631,0.060966831,CO,,,0.582
901,-0.246531335,0.043921559,CT,,,0.667
902,-0.218912492,0.050959006,CT,,,0.596
903,-0.281634406,0.044533965,CT,,,0.636
904,-0.284932387,0.049456699,CT,,,0.6
905,-0.045973724,0.045678152,CT,,,0.571
1000,-0.183985814,0.042192417,DE,,,0.626
1201,0.375184018,0.054287036,FL,,,0.323
1202,0.10843034,0.04601657,FL,,,0.475
1203,0.22941013,0.041701484,FL,,,0.404
1204,0.292906838,0.052021937,FL,,,0.37
1205,-0.092556745,0.043824255,FL,,,0.71
1206,0.155787392,0.039310311,FL,,,0.459
1207,-0.024321644,0.044423279,FL,,,0.495
1208,0.291063739,0.043869576,FL,,,0.444
1209,0.007060523,0.045198267,FL,,,0.606
1210,0.182850011,0.044964049,FL,,,0.475
1211,0.25302568,0.03697843,FL,,,0.434
1212,0.094979883,0.040192812,FL,,,0.475
1213,-0.020402823,0.056620296,FL,,,0.52
1214,-0.204274583,0.043484002,FL,,,0.657
1215,0.140919085,0.067672115,FL,,,0.465
1216,0.056694912,0.040821234,FL,,,0.485
1217,0.23311096,0.044122542,FL,,,0.434
1218,0.122646722,0.047312735,FL,,,0.515
1219,0.221676179,0.046256091,FL,,,0.424
1220,-0.42276662,0.044234392,FL,,,0.808
1221,-0.177767774,0.060996806,FL,,,0.64
1222,-0.26691335,0.064515746,FL,,,0.57
1223,-0.377038812,0.046505123,FL,,,0.62
1224,-0.417885947,0.082379918,FL,,,0.86
1225,-0.129438256,0.052576415,FL,,,0.46
1226,-0.250828255,0.05248946,FL,,,0.5
1227,-0.326381961,0.056374825,FL,,,0.49
1301,0.23086738,0.054146286,GA,,,0.444
1302,0.168064267,0.054028629,GA,,,0.58
1303,0.356355588,0.062605892,GA,,,0.343
1304,-0.272286258,0.042015767,GA,,,0.737
1305,-0.572780548,0.04619399,GA,,,0.848
1306,0.026037801,0.04559779,GA,,,0.404
1307,0.255654936,0.046904179,GA,,,0.394
1308,0.339968113,0.056283223,GA,,,0.38
1309,0.691172202,0.068062398,GA,,,0.242
1310,0.288365941,0.047907351,GA,,,0.394
1311,0.310765801,0.043941305,GA,,,0.354
1312,0.229489361,0.052234184,GA,,,0.44
1313,-0.085401838,0.048109244,GA,,,0.677
1314,0.479237612,0.065821752,GA,,,0.283
1501,-0.233101508,0.060923485,HI,,,0.714
1502,-0.150871478,0.055828394,HI,,,0.745
