abbr,fips,ideol,sd_ideol,pres_2004,pres_2008,pres_2012
AL,101,0.210159008,0.047663427,0.354,0.39,
AL,102,0.352629869,0.047274645,0.33,0.364,
AL,103,0.171840262,0.049145188,0.414,0.434,
AL,104,0.390008709,0.047540877,0.283,0.232,
AL,105,0.300005042,0.046180796,0.394,0.384,
AL,106,0.408728762,0.044576785,0.22,0.232,
AL,107,-0.197809051,0.049705527,0.646,0.727,
AK,201,0.078362912,0.057087109,0.355,0.379,
AZ,401,0.225324598,0.043933943,0.46,0.449,
AZ,402,0.240727944,0.037553669,0.384,0.384,
AZ,403,0.096348477,0.0417357,0.414,0.424,
AZ,404,-0.191391246,0.051675427,0.62,0.667,
AZ,405,-0.023053855,0.040855545,0.455,0.475,
AZ,406,0.271584917,0.039093593,0.354,0.384,
AZ,407,-0.037832502,0.04920361,0.57,0.576,
AZ,408,0.076260846,0.038927884,0.465,0.469,
AR,501,0.183520696,0.045057925,0.475,0.392,
AR,502,0.143278274,0.044889996,0.485,0.449,
AR,503,0.389889769,0.040635055,0.367,0.347,
AR,504,0.153984173,0.047004571,0.485,0.402,
CA,601,-0.279874416,0.044972644,0.612,0.673,
CA,602,0.245678295,0.044689207,0.374,0.439,
CA,603,0.012006464,0.042632565,0.414,0.5,
CA,604,0.167575115,0.043194362,0.378,0.449,
CA,605,-0.282245461,0.048404703,0.616,0.714,
CA,606,-0.567816324,0.041871951,0.714,0.776,
CA,607,-0.250574106,0.049341967,0.677,0.727,
CA,608,-1.08640951,0.04732559,0.859,0.876,
CA,609,-0.880314201,0.04654495,0.869,0.898,
CA,610,-0.165941949,0.047289589,0.596,0.663,
CA,611,0.07057566,0.045604484,0.455,0.551,
CA,612,-0.444785742,0.051384578,0.727,0.755,
CA,613,-0.270055972,0.054909016,0.717,0.755,
CA,614,-0.542961974,0.047402705,0.694,0.745,
CA,615,-0.227932679,0.050162306,0.636,0.694,
CA,616,-0.326146899,0.053088625,0.636,0.707,
CA,617,-0.438071827,0.05123628,0.667,0.735,
CA,618,-0.029525175,0.05537887,0.495,0.602,
CA,619,0.164286928,0.048195124,0.384,0.469,
CA,620,-0.036008976,0.068092249,0.515,0.606,
CA,621,0.118303596,0.051231909,0.343,0.429,
CA,622,0.298984917,0.043283803,0.313,0.388,
CA,623,-0.19686359,0.049540822,0.592,0.673,
CA,624,-0.03251142,0.046065458,0.434,0.515,
CA,625,0.107243805,0.048630198,0.404,0.505,
CA,626,0.046926257,0.050800365,0.444,0.52,
CA,627,-0.25845897,0.051189259,0.602,0.673,
CA,628,-0.539773958,0.053193473,0.717,0.776,
CA,629,-0.206089982,0.052640829,0.622,0.694,
CA,630,-0.457535472,0.043747499,0.667,0.714,
CA,631,-0.511032575,0.059598694,0.778,0.816,
CA,632,-0.12248048,0.05816688,0.626,0.694,
CA,633,-0.76904281,0.055179462,0.838,0.879,
CA,634,-0.248423988,0.067775449,0.697,0.765,
CA,635,-0.335927359,0.059220364,0.798,0.857,
CA,636,-0.28106776,0.050000174,0.596,0.653,
CA,637,-0.37124461,0.058172242,0.747,0.808,
CA,638,-0.279079982,0.063659047,0.657,0.724,
CA,639,-0.136974917,0.055189767,0.596,0.67,
CA,640,0.101876522,0.052821063,0.394,0.48,
CA,641,0.192377999,0.046170304,0.374,0.449,
CA,642,0.158001683,0.052003785,0.374,0.459,
CA,643,-0.083173282,0.059213325,0.586,0.694,
CA,644,0.035493114,0.050266042,0.404,0.505,
CA,645,-0.012510015,0.045389543,0.434,0.525,
CA,646,-0.044392765,0.047924771,0.424,0.49,
CA,647,-0.176076287,0.06281876,0.495,0.612,
CA,648,3.04E-05,0.046635862,0.408,0.5,
CA,649,0.183006508,0.046919982,0.364,0.459,
CA,650,0.057201879,0.047049898,0.444,0.52,
CA,651,-0.106031595,0.053412526,0.535,0.643,
CA,652,0.11508627,0.045735959,0.384,0.459,
CA,653,-0.493520539,0.044755057,0.616,0.694,
CO,801,-0.509107234,0.045282235,0.687,0.755,
CO,802,-0.166046302,0.046291043,0.586,0.653,
CO,803,0.19408502,0.044397677,0.444,0.485,
CO,804,0.027839276,0.044529327,0.414,0.495,
CO,805,0.293265665,0.044536412,0.333,0.404,
CO,806,0.178609019,0.042248053,0.394,0.465,
CO,807,0.017610013,0.04380572,0.515,0.596,
CT,901,-0.285613452,0.047430028,0.606,0.667,
CT,902,-0.138471365,0.046406969,0.551,0.596,
CT,903,-0.307807819,0.045887856,0.571,0.636,
CT,904,-0.279295959,0.048500305,0.531,0.6,
CT,905,-0.188076005,0.043118821,0.5,0.571,
DE,1001,-0.114276953,0.040415362,0.535,0.626,
FL,1201,0.35367488,0.044649233,0.28,0.323,
FL,1202,0.056003733,0.041614592,0.46,0.455,
FL,1203,-0.212070901,0.051219707,0.65,0.737,
FL,1204,0.246563034,0.044257713,0.31,0.384,
FL,1205,0.137554062,0.036040169,0.414,0.434,
FL,1206,0.166547546,0.037657774,0.39,0.434,
FL,1207,0.09607333,0.0391208,0.43,0.465,
FL,1208,0.103483023,0.040790662,0.45,0.53,
FL,1209,0.09514432,0.039265078,0.43,0.475,
FL,1210,-0.104351903,0.040744906,0.49,0.52,
FL,1211,-0.280813905,0.046394613,0.586,0.667,
FL,1212,0.07522667,0.042574397,0.42,0.495,
FL,1213,0.019411822,0.041436012,0.44,0.475,
FL,1214,0.154459561,0.041203113,0.38,0.424,
FL,1215,0.127852573,0.040603365,0.43,0.485,
FL,1216,0.10153113,0.042577772,0.46,0.475,
FL,1217,-0.490638377,0.056217629,0.83,0.879,
FL,1218,-0.381541436,0.050902268,0.46,0.51,
FL,1219,-0.305951153,0.045091973,0.66,0.657,
FL,1220,-0.315002231,0.046359863,0.64,0.636,
FL,1221,-0.227285575,0.048839953,0.43,0.49,
FL,1222,-0.148004228,0.046294142,0.52,0.52,
FL,1223,-0.454221604,0.058241848,0.76,0.83,
FL,1224,0.130558435,0.041401695,0.45,0.49,
FL,1225,-0.196697679,0.051918981,0.44,0.495,
GA,1301,0.18081906,0.048531505,0.34,0.364,
GA,1302,0.14801477,0.052269197,0.5,0.54,
GA,1303,0.249026149,0.044279514,0.293,0.354,
GA,1304,-0.307020646,0.044471995,0.717,0.79,
GA,1305,-0.565584034,0.047455643,0.74,0.798,
GA,1306,0.199383683,0.039661064,0.293,0.374,
GA,1307,0.287992242,0.043080737,0.3,0.394,
GA,1308,0.276873121,0.04626513,0.39,0.434,
GA,1309,0.445475025,0.045569607,0.23,0.242,
GA,1310,0.349110043,0.044293264,0.35,0.384,
GA,1311,0.446108818,0.045663346,0.29,0.333,
GA,1312,-0.001372948,0.051291513,0.495,0.545,
GA,1313,-0.01132628,0.044764265,0.6,0.717,
HI,1501,-0.269946376,0.074355249,0.53,0.704,
HI,1502,-0.154797213,0.06599394,0.56,0.731,
ID,1601,0.393179216,0.041385206,0.303,0.367,
ID,1602,0.270384691,0.044227367,0.303,0.371,
IL,1701,-0.542140779,0.050171369,0.83,0.87,
IL,1702,-0.502648017,0.04978782,0.84,0.9,
IL,1703,-0.18444661,0.052778874,0.59,0.646,
IL,1704,-0.530552626,0.05994026,0.79,0.867,
IL,1705,-0.475535013,0.051680853,0.67,0.737,
IL,1706,-0.090385542,0.050047419,0.47,0.566,
IL,1707,-0.708902049,0.050966231,0.83,0.88,
IL,1708,-0.09375536,0.045957564,0.44,0.566,
IL,1709,-0.597337142,0.046245134,0.68,0.735,
IL,1710,-0.15371528,0.047538598,0.53,0.616,
IL,1711,0.165010036,0.044558646,0.465,0.541,
IL,1712,0.113368773,0.045461905,0.52,0.551,
IL,1713,-0.035398271,0.04528202,0.45,0.545,
IL,1714,0.012219553,0.043994581,0.444,0.556,
IL,1715,0.095727875,0.044784545,0.41,0.49,
IL,1716,0.150688589,0.045300102,0.444,0.541,
IL,1717,0.074707267,0.044403011,0.515,0.571,
IL,1718,0.13014512,0.042212647,0.42,0.49,
IL,1719,0.156819337,0.04696211,0.39,0.449,
IN,1801,-0.12010637,0.044515671,0.556,0.626,
IN,1802,0.102095182,0.041712265,0.434,0.545,
IN,1803,0.237960505,0.043622074,0.313,0.434,
IN,1804,0.28526345,0.041558597,0.303,0.434,
IN,1805,0.311041698,0.041777299,0.283,0.404,
IN,1806,0.294856016,0.044398292,0.354,0.465,
IN,1807,-0.155198585,0.041856754,0.58,0.717,
IN,1808,0.184909767,0.044155984,0.38,0.48,
IN,1809,0.125958875,0.04191437,0.404,0.495,
IA,1901,0.040697177,0.047059608,0.535,0.586,
IA,1902,-0.137944656,0.043715908,0.556,0.612,
IA,1903,0.075233285,0.045244095,0.5,0.551,
IA,1904,0.152138235,0.045895298,0.485,0.541,
IA,1905,0.349557625,0.04580835,0.394,0.449,
KS,2001,0.28324291,0.041969467,0.265,0.303,
KS,2002,0.132879879,0.042346749,0.398,0.439,
KS,2003,-0.008705637,0.040576073,0.444,0.515,
KS,2004,0.064852366,0.04216457,0.347,0.408,
KY,2101,0.317394079,0.045570272,0.364,0.374,
KY,2102,0.300462887,0.044790579,0.343,0.384,
KY,2103,-0.053518525,0.04379585,0.51,0.566,
KY,2104,0.291907204,0.043906977,0.364,0.388,
KY,2105,0.243841482,0.045547727,0.39,0.316,
KY,2106,0.05144564,0.042979515,0.414,0.439,
LA,2201,0.324728897,0.046689742,0.283,0.263,
LA,2202,-0.440942481,0.057987817,0.758,0.747,
LA,2203,0.320763082,0.052017989,0.414,0.378,
LA,2204,0.26011655,0.048082938,0.404,0.404,
LA,2205,0.27976311,0.052791217,0.374,0.374,
LA,2206,0.171851417,0.04839538,0.404,0.418,
LA,2207,0.272314495,0.048992316,0.394,0.357,
ME,2301,-0.105128934,0.03987759,0.561,0.616,
ME,2302,-0.068005292,0.041012514,0.531,0.561,
MD,2401,0.164329676,0.045717318,0.367,0.408,
MD,2402,-0.0782083,0.04598074,0.545,0.612,
MD,2403,-0.18693073,0.046096263,0.545,0.602,
MD,2404,-0.583538334,0.052344719,0.788,0.859,
MD,2405,-0.120629742,0.043821933,0.576,0.663,
MD,2406,0.096224473,0.043947329,0.343,0.408,
MD,2407,-0.594303253,0.051284089,0.737,0.798,
MD,2408,-0.588110828,0.043215725,0.697,0.747,
MA,2501,-0.326893243,0.04654643,0.643,0.653,
MA,2502,-0.200004341,0.047161793,0.596,0.602,
MA,2503,-0.305834678,0.048703485,0.596,0.602,
MA,2504,-0.304627365,0.049502827,0.663,0.646,
MA,2505,-0.221842601,0.050818242,0.582,0.602,
MA,2506,-0.263445444,0.0505241,0.586,0.586,
MA,2507,-0.458681147,0.048260333,0.667,0.663,
MA,2508,-0.889841047,0.050920175,0.806,0.86,
MA,2509,-0.307081361,0.051051602,0.636,0.606,
MA,2510,-0.273512411,0.047316321,0.566,0.556,
MI,2601,0.126669867,0.041079784,0.465,0.51,
MI,2602,0.138924005,0.042794599,0.394,0.485,
MI,2603,0.083489259,0.042929936,0.404,0.5,
MI,2604,0.208850977,0.044193477,0.444,0.51,
MI,2605,-0.081632227,0.045752086,0.59,0.646,
MI,2606,0.012897703,0.044358345,0.465,0.545,
MI,2607,0.140291288,0.044685232,0.455,0.531,
MI,2608,0.053778951,0.045156276,0.455,0.535,
MI,2609,-0.040957335,0.045651634,0.49,0.566,
MI,2610,0.1764648,0.046818934,0.43,0.49,
MI,2611,0.095056348,0.045294376,0.47,0.545,
MI,2612,-0.135835803,0.045730362,0.61,0.663,
MI,2613,-0.531337579,0.054434303,0.81,0.85,
MI,2614,-0.524744406,0.052085954,0.83,0.86,
